path,name,title,description,depicted_place,notes
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 1.jpg,L 1.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 10.jpg,L 10.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 11.jpg,L 11.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 12.jpg,L 12.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 13.jpg,L 13.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 14.jpg,L 14.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 15.jpg,L 15.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 16.jpg,L 16.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 17.jpg,L 17.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 18.jpg,L 18.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
E:\material_for_pattypan\Towerblock_Digitised_Images\Leeds\L 19.jpg,L 19.jpg,Tower Block UK,"Photograph of social housing, taken by Professor Miles Glendinning of the University of Edinburgh.",UK-city-or-region,The Tower Block UK project was funded by the Heritage Lottery fund.
